match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.country.id,home_team.country.name,home_team.managers,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.country.id,away_team.country.name,away_team.managers,metadata.data_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name
7581,7/1/2018,00:00.0,1,1,available,unscheduled,2020-07-29T05:00,,4,43,International,FIFA World Cup,3,2018,785,Croatia,male,,56,Croatia,"[{'id': 307, 'name': 'Zlatko Dalić', 'nickname': None, 'dob': None, 'country': {'id': 56, 'name': 'Croatia'}}]",776,Denmark,male,,61,Denmark,"[{'id': 641, 'name': 'Åge Fridtjof Hareide', 'nickname': 'Åge Hareide', 'dob': None, 'country': {'id': 171, 'name': 'Norway'}}]",1.0.2,33,Round of 16,4263,Stadion Nizhny Novgorod,188,Russia,730,N. Pitana,,
7549,6/22/2018,00:00.0,2,0,available,unscheduled,2020-07-29T05:00,,2,43,International,FIFA World Cup,3,2018,775,Nigeria,male,Group D,166,Nigeria,"[{'id': 636, 'name': 'Gernot Rohr', 'nickname': None, 'dob': '1953-06-28', 'country': {'id': 85, 'name': 'Germany'}}]",793,Iceland,male,Group D,104,Iceland,"[{'id': 648, 'name': 'Heimir Hallgrímsson', 'nickname': None, 'dob': '1967-06-10', 'country': {'id': 104, 'name': 'Iceland'}}]",1.0.2,10,Group Stage,4257,Volgograd Arena,188,Russia,739,M. Conger,,
7555,6/24/2018,00:00.0,0,3,available,unscheduled,2020-07-29T05:00,,2,43,International,FIFA World Cup,3,2018,789,Poland,male,Group H,182,Poland,"[{'id': 542, 'name': 'Adam Nawałka', 'nickname': None, 'dob': '1957-10-23', 'country': {'id': 182, 'name': 'Poland'}}]",769,Colombia,male,Group H,49,Colombia,"[{'id': 634, 'name': 'José Néstor Pekerman', 'nickname': 'José Pékerman', 'dob': '2049-09-03', 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.2,10,Group Stage,4258,Kazan' Arena (Kazan'),188,Russia,740,C. Ramos,147,Mexico
7529,6/16/2018,00:00.0,2,0,available,unscheduled,2020-07-29T05:00,,1,43,International,FIFA World Cup,3,2018,785,Croatia,male,Group D,56,Croatia,"[{'id': 307, 'name': 'Zlatko Dalić', 'nickname': None, 'dob': None, 'country': {'id': 56, 'name': 'Croatia'}}]",775,Nigeria,male,Group D,166,Nigeria,"[{'id': 636, 'name': 'Gernot Rohr', 'nickname': None, 'dob': '1953-06-28', 'country': {'id': 85, 'name': 'Germany'}}]",1.0.2,10,Group Stage,4260,Stadion Kaliningrad,255,International,738,Sandro Ricci,,
7548,6/22/2018,00:00.0,2,0,available,unscheduled,2020-07-29T05:00,,2,43,International,FIFA World Cup,3,2018,781,Brazil,male,Group E,31,Brazil,"[{'id': 547, 'name': 'Adenor Leonardo Bacchi', 'nickname': 'Tite', 'dob': '1961-05-25', 'country': {'id': 31, 'name': 'Brazil'}}]",795,Costa Rica,male,Group E,54,Costa Rica,"[{'id': 646, 'name': 'Óscar Antonio Ramírez Hernández', 'nickname': 'Óscar Ramírez', 'dob': '1964-12-08', 'country': {'id': 54, 'name': 'Costa Rica'}}]",1.0.2,10,Group Stage,4726,Saint-Petersburg Stadium,255,International,287,B. Kuipers,160,Netherlands
7534,6/17/2018,00:00.0,0,1,available,unscheduled,2020-07-29T05:00,,1,43,International,FIFA World Cup,3,2018,770,Germany,male,Group F,85,Germany,"[{'id': 602, 'name': 'Joachim Löw', 'nickname': None, 'dob': None, 'country': {'id': 85, 'name': 'Germany'}}]",794,Mexico,male,Group F,147,Mexico,"[{'id': 632, 'name': 'Juan Carlos Osorio Arbeláez', 'nickname': 'Juan Carlos Osorio', 'dob': None, 'country': {'id': 49, 'name': 'Colombia'}}]",1.0.2,10,Group Stage,255,Stadion Luzhniki,188,Russia,741,A. Faghani,107,"Iran, Islamic Republic of"
7562,6/26/2018,00:00.0,0,2,available,unscheduled,2020-07-29T05:00,,3,43,International,FIFA World Cup,3,2018,792,Australia,male,Group C,14,Australia,"[{'id': 630, 'name': 'Bert van Marwijk', 'nickname': None, 'dob': '1952-05-19', 'country': {'id': 160, 'name': 'Netherlands'}}]",784,Peru,male,Group C,179,Peru,"[{'id': 629, 'name': 'Ricardo Alberto Gareca Nardi', 'nickname': 'Ricardo Gareca', 'dob': '1958-02-10', 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.2,10,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,725,S. Karasev,188,Russia
7565,6/27/2018,00:00.0,0,2,available,unscheduled,2020-07-29T05:00,,3,43,International,FIFA World Cup,3,2018,786,Serbia,male,Group E,203,Serbia,"[{'id': 640, 'name': 'Mladen Krstajić', 'nickname': None, 'dob': '1974-03-04', 'country': {'id': 203, 'name': 'Serbia'}}]",781,Brazil,male,Group E,31,Brazil,"[{'id': 547, 'name': 'Adenor Leonardo Bacchi', 'nickname': 'Tite', 'dob': '1961-05-25', 'country': {'id': 31, 'name': 'Brazil'}}]",1.0.2,10,Group Stage,4130,Otkrytiye Arena,188,Russia,741,A. Faghani,107,"Iran, Islamic Republic of"
7571,6/28/2018,00:00.0,0,1,available,unscheduled,2020-07-29T05:00,,3,43,International,FIFA World Cup,3,2018,787,Senegal,male,Group H,202,Senegal,"[{'id': 635, 'name': 'Aliou Cissé', 'nickname': None, 'dob': '1976-03-24', 'country': {'id': 202, 'name': 'Senegal'}}]",769,Colombia,male,Group H,49,Colombia,"[{'id': 634, 'name': 'José Néstor Pekerman', 'nickname': 'José Pékerman', 'dob': '2049-09-03', 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.2,10,Group Stage,254,Samara Arena,188,Russia,727,M. Mažić,,
7569,6/28/2018,00:00.0,1,2,available,unscheduled,2020-07-29T05:00,,3,43,International,FIFA World Cup,3,2018,798,Panama,male,Group G,176,Panama,"[{'id': 654, 'name': 'Hernán Darío Gómez Jaramillo', 'nickname': 'Hernán Darío Gómez', 'dob': '1956-02-03', 'country': {'id': 49, 'name': 'Colombia'}}]",777,Tunisia,male,Group G,232,Tunisia,"[{'id': 557, 'name': 'Nabil Maâloul', 'nickname': None, 'dob': '1962-07-25', 'country': {'id': 232, 'name': 'Tunisia'}}]",1.0.2,10,Group Stage,4259,Mordovia Arena,188,Russia,176,Nawaf Shukralla,18,Bahrain
